Family,Outcome,Treatment,Moderator,N,Beta,p,CI_lower,CI_upper,q,Pass_Conservative,Section,PlaceboIV,Interaction_Beta,Spec,N_permutations,Beta_observed,Empirical_p,Check,Beta_on_DV21,Beta_on_LifeExp,Incoherent,N_no_hospital,Beta_IV3_on_DV2_in_no_hospital,Note
Direct NCO,_65_and_older_raw_value,mo1_genai_composite_score_c,MO1,3135.0,-0.0014991184397675794,0.06852167404495894,-0.003112140837685416,0.00011390395815025732,0.4449863133977432,False,Direct NCO,,,,,,,,,,,,,
Direct NCO,_65_and_older_raw_value,mo2_robotics_composite_score_c,MO2,3135.0,0.0001280028605340946,0.6156058879171838,-0.000371672866119948,0.0006276785871881372,0.9323384059933857,True,Direct NCO,,,,,,,,,,,,,
Direct NCO,_65_and_older_raw_value,mo11_ai_automate_routine_tasks_pct_c,MO11,3133.0,-8.162488291856148e-06,0.8068567892839568,-7.359928754859191e-05,5.7274310964879613e-05,0.9323384059933857,True,Direct NCO,,,,,,,,,,,,,
Direct NCO,_65_and_older_raw_value,mo12_ai_optimize_workflows_pct_c,MO12,3133.0,-1.6029097901910434e-05,0.5633575697903448,-7.03958445034152e-05,3.833764869959433e-05,0.9323384059933857,True,Direct NCO,,,,,,,,,,,,,
Direct NCO,_65_and_older_raw_value,mo13_ai_predict_patient_demand_pct_c,MO13,3133.0,-4.917123483844174e-05,0.17093018697117712,-0.00011955712989493307,2.12146602180496e-05,0.6420304583795434,True,Direct NCO,,,,,,,,,,,,,
Direct NCO,_65_and_older_raw_value,mo14_ai_predict_staff_needs_pct_c,MO14,3133.0,-5.311936203622114e-05,0.10457524515985174,-0.00011726464076751356,1.1025916695071275e-05,0.5368195918205723,True,Direct NCO,,,,,,,,,,,,,
Direct NCO,_65_and_older_raw_value,mo15_ai_staff_scheduling_pct_c,MO15,3133.0,-7.579047582524978e-05,0.0170793410402269,-0.00013807429038085287,-1.3506661269646695e-05,0.2023245015534571,False,Direct NCO,,,,,,,,,,,,,
Direct NCO,air_pollution_particulate_matter_raw_value,mo1_genai_composite_score_c,MO1,3107.0,-0.012297613325246898,0.338598535056443,-0.037485116050741146,0.01288988940024735,0.8022180676721881,True,Direct NCO,,,,,,,,,,,,,
Direct NCO,air_pollution_particulate_matter_raw_value,mo2_robotics_composite_score_c,MO2,3107.0,0.0035272251054808863,0.2930195587321117,-0.003047286368936088,0.01010173657989786,0.7520835340790867,True,Direct NCO,,,,,,,,,,,,,
Direct NCO,air_pollution_particulate_matter_raw_value,mo11_ai_automate_routine_tasks_pct_c,MO11,3107.0,-0.0003895161009766007,0.3177757970200823,-0.0011536879962618057,0.00037465579430860435,0.7893140764692366,True,Direct NCO,,,,,,,,,,,,,
Direct NCO,air_pollution_particulate_matter_raw_value,mo12_ai_optimize_workflows_pct_c,MO12,3107.0,-0.00021674292973219988,0.6077177664649962,-0.0010442907046057353,0.0006108048451413356,0.9323384059933857,True,Direct NCO,,,,,,,,,,,,,
Direct NCO,air_pollution_particulate_matter_raw_value,mo13_ai_predict_patient_demand_pct_c,MO13,3107.0,-0.0007497691891866281,0.1555934435138274,-0.001784607215472836,0.00028506883709957984,0.6279707091390803,True,Direct NCO,,,,,,,,,,,,,
Direct NCO,air_pollution_particulate_matter_raw_value,mo14_ai_predict_staff_needs_pct_c,MO14,3107.0,-0.00013163845052821446,0.8115275090570628,-0.001213627249730367,0.000950350348673938,0.9323384059933857,True,Direct NCO,,,,,,,,,,,,,
